calculation_month,snop_month,parent_code,parent_description,qty,source
2025-09,2026-02,706059,PCNO 100ml FT BOT NEW PB,278.0563305,ml
2025-09,2026-02,706059,PCNO 100ml FT BOT NEW PB,280.0,tm
2025-10,2026-02,706059,PCNO 100ml FT BOT NEW PB,227.2593146,ml
2025-10,2026-02,706059,PCNO 100ml FT BOT NEW PB,280.228,tm
2025-11,2026-02,706059,PCNO 100ml FT BOT NEW PB,250.1026315,ml
2025-11,2026-02,706059,PCNO 100ml FT BOT NEW PB,280.557699655,tm
2025-12,2026-02,706059,PCNO 100ml FT BOT NEW PB,262.4562102,ml
2025-12,2026-02,706059,PCNO 100ml FT BOT NEW PB,280.583844655,tm
2026-01,2026-02,706059,PCNO 100ml FT BOT NEW PB,261.5190667,ml
2026-01,2026-02,706059,PCNO 100ml FT BOT NEW PB,280.557699655,tm
2025-10,2026-03,706059,PCNO 100ml FT BOT NEW PB,235.0284659,ml
2025-10,2026-03,706059,PCNO 100ml FT BOT NEW PB,220.342,tm
2025-11,2026-03,706059,PCNO 100ml FT BOT NEW PB,229.8098649,ml
2025-11,2026-03,706059,PCNO 100ml FT BOT NEW PB,290.478028276,tm
2025-12,2026-03,706059,PCNO 100ml FT BOT NEW PB,192.7331795,ml
2025-12,2026-03,706059,PCNO 100ml FT BOT NEW PB,290.478028276,tm
2026-01,2026-03,706059,PCNO 100ml FT BOT NEW PB,225.198004,ml
2026-01,2026-03,706059,PCNO 100ml FT BOT NEW PB,290.478028276,tm
2026-02,2026-03,706059,PCNO 100ml FT BOT NEW PB,199.1027375,ml
2026-02,2026-03,706059,PCNO 100ml FT BOT NEW PB,320.488288276,tm
2025-11,2026-04,706059,PCNO 100ml FT BOT NEW PB,324.4299825,ml
2025-11,2026-04,706059,PCNO 100ml FT BOT NEW PB,220.171,tm
2025-12,2026-04,706059,PCNO 100ml FT BOT NEW PB,346.9554378,ml
2025-12,2026-04,706059,PCNO 100ml FT BOT NEW PB,260.0,tm
2026-01,2026-04,706059,PCNO 100ml FT BOT NEW PB,306.1913883,ml
2026-01,2026-04,706059,PCNO 100ml FT BOT NEW PB,280.013499719,tm
2026-02,2026-04,706059,PCNO 100ml FT BOT NEW PB,291.287185,ml
2026-02,2026-04,706059,PCNO 100ml FT BOT NEW PB,280.136134595,tm
